Avr_L: 30.5974    Avr_b: 16.6345   Avr_Chroma: 19.4838 
Avr_L: 36.7383    Avr_b: 10.9652   Avr_Chroma: 12.7166 
Avr_L: 29.7409    Avr_b: 19.3610   Avr_Chroma: 22.7343 
Avr_L: 30.3174    Avr_b: 16.8681   Avr_Chroma: 19.7080 
Avr_L: 36.1079    Avr_b: 21.3403   Avr_Chroma: 23.1120 
Avr_L: 35.9957    Avr_b: 11.1055   Avr_Chroma: 12.9217 
Avr_L: 30.6628    Avr_b: 19.7583   Avr_Chroma: 23.0852 
Avr_L: 30.0806    Avr_b: 16.8385   Avr_Chroma: 19.7456 
Avr_L: 38.1467    Avr_b: 21.4856   Avr_Chroma: 23.1859 
Avr_L: 31.3119    Avr_b: 19.6733   Avr_Chroma: 23.0418 
Avr_L: 30.5097    Avr_b: 16.5402   Avr_Chroma: 19.5397 
Avr_L: 38.8803    Avr_b: 21.0219   Avr_Chroma: 22.7386 
Avr_L: 31.5744    Avr_b: 19.5847   Avr_Chroma: 23.0108 
Avr_L: 38.9969    Avr_b: 20.5266   Avr_Chroma: 22.4145 
Avr_L: 31.6566    Avr_b: 19.2229   Avr_Chroma: 22.8263 
Avr_L: 37.2649    Avr_b: 16.2297   Avr_Chroma: 17.3777 
Avr_L: 39.0295    Avr_b: 20.1383   Avr_Chroma: 22.0531 
Avr_L: 31.2328    Avr_b: 19.0095   Avr_Chroma: 22.7031 
Avr_L: 38.8698    Avr_b: 15.4774   Avr_Chroma: 16.7345 
Avr_L: 39.2129    Avr_b: 19.7024   Avr_Chroma: 21.7625 
Avr_L: 39.2421    Avr_b: 15.3749   Avr_Chroma: 16.6232 
Avr_L: 39.3963    Avr_b: 19.2944   Avr_Chroma: 21.3743 
Avr_L: 39.1604    Avr_b: 15.4999   Avr_Chroma: 16.8917 
Avr_L: 39.2085    Avr_b: 15.4755   Avr_Chroma: 16.9170 
Avr_L: 32.5255    Avr_b: 13.4109   Avr_Chroma: 15.3995 
Avr_L: 39.5804    Avr_b: 15.3895   Avr_Chroma: 16.9156 
Avr_L: 33.8199    Avr_b: 13.1626   Avr_Chroma: 15.3012 
Avr_L: 39.4838    Avr_b: 14.8106   Avr_Chroma: 16.5575 
Avr_L: 34.5685    Avr_b: 12.8540   Avr_Chroma: 15.0829 
Avr_L: 35.0115    Avr_b: 12.2213   Avr_Chroma: 14.5333 
Avr_L: 34.8810    Avr_b: 11.9245   Avr_Chroma: 14.4797 
Avr_L: 34.6728    Avr_b: 11.9356   Avr_Chroma: 14.5439 
Avr_L: 34.4164    Avr_b: 10.1518   Avr_Chroma: 12.1462 
Avr_L: 34.3499    Avr_b: 11.7186   Avr_Chroma: 14.6426 
Avr_L: 35.6602    Avr_b: 10.0740   Avr_Chroma: 12.3000 
Avr_L: 35.9859    Avr_b: 10.3640   Avr_Chroma: 12.6016 
Avr_L: 33.0522    Avr_b: 20.8372   Avr_Chroma: 22.9167 
Avr_L: 35.6829    Avr_b: 10.3598   Avr_Chroma: 12.6414 
Avr_L: 34.1713    Avr_b: 20.8377   Avr_Chroma: 22.9282 
Avr_L: 35.7946    Avr_b: 10.3717   Avr_Chroma: 12.6263 
Avr_L: 35.0359    Avr_b: 20.2897   Avr_Chroma: 22.4241 
Avr_L: 36.1066    Avr_b: 10.5968   Avr_Chroma: 13.0021 
Avr_L: 35.4727    Avr_b: 20.2094   Avr_Chroma: 22.3771 
Avr_L: 36.4233    Avr_b: 10.1640   Avr_Chroma: 12.8255 
Avr_L: 35.5780    Avr_b: 20.0217   Avr_Chroma: 22.3055 
Avr_L: 39.6657    Avr_b: 17.3668   Avr_Chroma: 18.3592 
Avr_L: 35.5123    Avr_b: 20.1038   Avr_Chroma: 22.4624 
Avr_L: 40.5120    Avr_b: 16.9781   Avr_Chroma: 18.0372 
Avr_L: 35.1422    Avr_b: 19.9760   Avr_Chroma: 22.4747 
Avr_L: 40.6480    Avr_b: 17.1765   Avr_Chroma: 18.3257 
